title,genre_names,vote_average,vote_count,popularity
Toy Story,"Animation, Comedy, Family",7.7,5415.0,21.946943
Jumanji,"Adventure, Fantasy, Family",6.9,2413.0,17.015539
Grumpier Old Men,"Romance, Comedy",6.5,92.0,11.7129
Waiting to Exhale,"Comedy, Drama, Romance",6.1,34.0,3.859495
Father of the Bride Part II,Comedy,5.7,173.0,8.387519
Heat,"Action, Crime, Drama, Thriller",7.7,1886.0,17.924927
Sabrina,"Comedy, Romance",6.2,141.0,6.677277
Tom and Huck,"Action, Adventure, Drama, Family",5.4,45.0,2.561161
Sudden Death,"Action, Adventure, Thriller",5.5,174.0,5.23158
GoldenEye,"Adventure, Action, Thriller",6.6,1194.0,14.686036
The American President,"Comedy, Drama, Romance",6.5,199.0,6.318445
Dracula: Dead and Loving It,"Comedy, Horror",5.7,210.0,5.430331
Balto,"Family, Animation, Adventure",7.1,423.0,12.140733
Nixon,"History, Drama",7.1,72.0,5.092
Cutthroat Island,"Action, Adventure",5.7,137.0,7.284477
Casino,"Drama, Crime",7.8,1343.0,10.137389
Sense and Sensibility,"Drama, Romance",7.2,364.0,10.673167
Four Rooms,"Crime, Comedy",6.5,539.0,9.026586
Ace Ventura: When Nature Calls,"Crime, Comedy, Adventure",6.1,1128.0,8.205448
Money Train,"Action, Comedy, Crime",5.4,224.0,7.337906
Get Shorty,"Comedy, Thriller, Crime",6.4,305.0,12.669608
Copycat,"Drama, Thriller",6.5,199.0,10.701801
Assassins,"Action, Adventure, Crime, Thriller",6.0,394.0,11.065939
Powder,"Drama, Fantasy, Science Fiction, Thriller",6.3,143.0,12.133094
Leaving Las Vegas,"Drama, Romance",7.1,365.0,10.332025
Othello,Drama,7.0,33.0,1.845899
Now and Then,"Comedy, Drama, Family",6.6,91.0,8.681325
Persuasion,"Drama, Romance",7.4,36.0,2.228434
The City of Lost Children,"Fantasy, Science Fiction, Adventure",7.6,308.0,9.822423
Shanghai Triad,"Drama, Crime",6.5,17.0,1.100915
Dangerous Minds,"Drama, Crime",6.4,249.0,9.481338
Twelve Monkeys,"Science Fiction, Thriller, Mystery",7.4,2470.0,12.297305
Wings of Courage,"Romance, Adventure",6.8,4.0,0.745542
Babe,"Fantasy, Drama, Comedy, Family",6.0,756.0,14.404764
Carrington,"History, Drama, Romance",6.4,16.0,1.493361
Dead Man Walking,Drama,7.3,350.0,6.891317
Across the Sea of Time,"Adventure, History, Drama, Family",3.5,2.0,0.114469
It Takes Two,"Comedy, Family, Romance",6.1,149.0,7.777735
Clueless,"Comedy, Drama, Romance",6.9,828.0,9.882383
"Cry, the Beloved Country",Drama,6.7,13.0,0.894647
Richard III,"Drama, War",6.9,50.0,4.561387
Dead Presidents,"Action, Crime, Drama, History",6.6,80.0,9.87957
Restoration,"Drama, Romance",6.3,30.0,10.979269
Mortal Kombat,"Action, Fantasy",5.4,452.0,10.870138
To Die For,"Fantasy, Drama, Comedy, Thriller",6.7,177.0,10.448481
How To Make An American Quilt,"Drama, Romance",6.5,38.0,4.485958
Se7en,"Crime, Mystery, Thriller",8.1,5915.0,18.45743
Pocahontas,"Adventure, Animation, Drama, Family",6.7,1509.0,13.280069
When Night Is Falling,"Drama, Romance",5.9,10.0,3.302524
The Usual Suspects,"Drama, Crime, Thriller",8.1,3334.0,16.302466
Guardian Angel,"Action, Thriller, Drama",6.3,3.0,0.595949
Mighty Aphrodite,"Comedy, Romance",6.7,145.0,15.899134
Lamerica,"Drama, Foreign",7.7,11.0,1.361286
The Big Green,"Action, Adventure, Comedy, Family",5.2,41.0,5.982764
Georgia,Drama,6.1,15.0,4.093443
Kids of the Round Table,,3.0,1.0,0.307075
Home for the Holidays,"Comedy, Drama, Romance",6.3,39.0,8.416802
The Postman,"Comedy, Drama, Romance",7.6,181.0,10.168437
The Confessional,"Thriller, Drama, Mystery",6.5,2.0,0.120789
The Indian in the Cupboard,"Adventure, Family, Fantasy",5.9,136.0,10.673296
Eye for an Eye,"Drama, Thriller",5.8,65.0,4.733526
Mr. Holland's Opus,"Music, Drama, Family",6.9,115.0,7.137117
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,Comedy,6.2,192.0,11.700115
Two If by Sea,"Comedy, Romance",4.5,14.0,2.174487
Bio-Dome,Comedy,4.4,110.0,6.387469
Lawnmower Man 2: Beyond Cyberspace,"Action, Science Fiction",2.8,32.0,2.49535
Two Bits,"Drama, Family",5.4,11.0,4.046208
French Twist,"Comedy, Romance",6.0,43.0,2.518051
Friday,Comedy,7.0,513.0,14.56965
From Dusk Till Dawn,"Horror, Action, Thriller, Crime",6.9,1644.0,15.339153
Fair Game,"Action, Thriller, Romance",4.1,54.0,5.912223
Kicking and Screaming,"Comedy, Drama, Romance",7.0,36.0,3.367276
Les Miserables,"Drama, History",6.6,8.0,1.479446
Bed of Roses,"Drama, Romance",5.1,27.0,10.412194
Big Bully,"Comedy, Family",3.9,16.0,2.936443
Screamers,"Horror, Science Fiction",6.1,154.0,12.758848
Nico Icon,Documentary,7.3,3.0,0.133893
The Crossing Guard,"Drama, Thriller",6.1,74.0,5.756462
The Juror,"Drama, Thriller",5.5,91.0,6.010579
The White Balloon,"Family, Drama",7.5,20.0,1.196256
Things to Do in Denver When You're Dead,"Drama, Crime",6.7,87.0,4.486179
Antonia's Line,"Drama, Comedy",7.2,26.0,2.030174
Once Upon a Time... When We Were Colored,"Romance, Drama",4.5,2.0,0.252287
Last Summer in the Hamptons,,0.0,0.0,0.531159
Angels and Insects,"Drama, Romance",6.3,17.0,2.15166
White Squall,"Action, Drama",6.3,86.0,9.568604
Dunston Checks In,"Adventure, Comedy, Family",5.1,59.0,4.814825
Black Sheep,Comedy,6.0,124.0,8.963037
Nick of Time,"Crime, Drama, Thriller",6.1,190.0,6.848591
The Journey of August King,Drama,6.7,3.0,0.411424
Mary Reilly,"Drama, Horror, Thriller, Romance",5.7,77.0,12.866139
Vampire in Brooklyn,"Comedy, Horror, Romance",4.5,113.0,9.071127
Beautiful Girls,"Comedy, Drama, Romance",6.6,103.0,4.670562
Broken Arrow,"Action, Adventure, Drama, Thriller",5.7,459.0,14.957626
A Midwinter's Tale,Comedy,7.5,6.0,0.513391
La Haine,Drama,7.9,695.0,12.108196
Shopping,"Action, Adventure, Drama, Science Fiction, Thriller",5.6,13.0,2.657647
Heidi Fleiss: Hollywood Madam,Documentary,6.8,4.0,0.638211
City Hall,"Drama, Thriller",6.0,67.0,4.807223
Bottle Rocket,"Comedy, Crime, Drama",6.8,285.0,6.904831
Mr. Wrong,"Comedy, Romance",3.3,16.0,3.329264
Unforgettable,"Drama, Mystery, Science Fiction, Thriller",5.3,22.0,2.464425
Happy Gilmore,Comedy,6.5,767.0,9.592265
The Bridges of Madison County,"Drama, Romance",7.3,397.0,5.951077
Nobody Loves Me,"Drama, Comedy, Family",5.1,5.0,1.015068
Muppet Treasure Island,"Action, Comedy, Music, Family, Adventure",6.5,93.0,6.902423
Catwalk,Documentary,7.0,2.0,0.976707
Headless Body in Topless Bar,Crime,0.0,0.0,0.001346
Braveheart,"Action, Drama, History, War",7.7,3404.0,20.755149
Taxi Driver,"Crime, Drama",8.1,2632.0,14.092713
Rumble in the Bronx,"Crime, Action, Comedy, Thriller",6.5,245.0,12.314278
Before and After,"Drama, Thriller",5.8,37.0,2.938293
Margaret's Museum,Drama,7.5,2.0,0.372697
Happiness Is in the Field,Comedy,7.0,23.0,1.254885
Anne Frank Remembered,"Documentary, Drama, Foreign",7.3,4.0,0.243986
The Young Poisoner's Handbook,"Comedy, Crime, Drama",6.9,19.0,6.178497
If Lucy Fell,"Comedy, Romance",5.4,11.0,2.891918
Steal Big Steal Little,"Comedy, Drama",5.1,7.0,1.522412
Race the Sun,"Action, Adventure, Comedy, Drama, Family",5.2,21.0,1.317878
The Boys of St. Vincent,Drama,7.0,7.0,0.86539
Boomerang,"Comedy, Romance",5.4,139.0,6.506983
Chungking Express,"Drama, Comedy, Romance",7.9,249.0,6.778979
The Star Maker,"Drama, Romance",6.8,29.0,1.702639
Flirting with Disaster,"Comedy, Romance",6.3,66.0,5.579088
The Neverending Story III: Escape from Fantasia,Fantasy,4.4,105.0,6.252377
The Silences of the Palace,Drama,4.3,3.0,0.406754
Jupiter's Wife,,0.0,0.0,0.001178
Pie in the Sky,"Comedy, Romance",7.0,2.0,0.699066
Angela,"Comedy, Drama",5.6,9.0,2.197439
Frankie Starlight,"Drama, Romance, War",5.4,4.0,0.637554
Jade,"Action, Thriller, Mystery, Romance",5.1,45.0,11.418917
Nueba Yol,"Comedy, Drama, Romance",5.5,1.0,0.291021
Sonic Outlaws,"Music, Documentary",0.0,0.0,0.001838
Down Periscope,Comedy,5.6,110.0,5.184977
From the Journals of Jean Seberg,Documentary,6.5,2.0,0.276401
Man of the Year,Comedy,3.8,2.0,0.540436
The Neon Bible,Drama,7.2,5.0,0.370342
Target,,0.0,0.0,0.001205
Up Close & Personal,"Drama, Romance",5.9,51.0,3.402749
The Birdcage,Comedy,6.7,303.0,6.49968
Virgin Mary,Drama,7.0,2.0,0.918504
The Brothers McMullen,"Comedy, Drama, Romance",6.3,23.0,2.039196
Bad Boys,"Action, Comedy, Crime, Thriller",6.5,1729.0,9.262184
The Amazing Panda Adventure,"Action, Adventure, Drama, Family",5.0,31.0,2.375865
The Basketball Diaries,"Drama, Crime",7.2,472.0,7.415144
An Awfully Big Adventure,"Romance, Drama, Comedy",6.0,11.0,0.922958
Amateur,"Crime, Comedy, Drama, Thriller",6.5,21.0,1.759012
Apollo 13,Drama,7.3,1637.0,18.761467
Rob Roy,Adventure,6.5,151.0,10.193549
The Addiction,"Drama, Horror",6.4,46.0,3.137285
Batman Forever,"Action, Crime, Fantasy",5.2,1529.0,13.321354
Belle de Jour,"Drama, Romance",7.3,163.0,10.142662
Beyond Rangoon,"Drama, Thriller",6.4,21.0,2.04189
Blue in the Face,Comedy,6.8,28.0,11.528147
Canadian Bacon,"Action, Comedy",5.9,57.0,5.391556
Casper,"Fantasy, Comedy, Family",6.0,1045.0,12.812539
Clockers,"Mystery, Crime, Drama",6.8,69.0,4.558992
Congo,"Action, Adventure, Drama, Mystery, Science Fiction, Thriller",5.0,214.0,7.260574
Crimson Tide,"Action, Thriller, Drama",7.0,508.0,8.657365
Crumb,Documentary,7.6,71.0,3.620388
Desperado,"Thriller, Action, Crime",6.8,898.0,6.950458
Devil in a Blue Dress,"Drama, Mystery, Thriller",6.3,88.0,4.646132
Die Hard: With a Vengeance,"Action, Thriller",6.9,2094.0,15.138855
The Doom Generation,"Action, Comedy, Crime, Drama",5.6,57.0,7.120806
Feast of July,"Drama, Crime",0.0,0.0,0.523575
First Knight,"Action, Adventure, Drama, Romance",5.9,319.0,15.178338
Free Willy 2 - The Adventure Home,Adventure,5.5,130.0,7.575098
Hackers,"Action, Crime, Thriller, Drama",6.2,406.0,14.810519
Jeffrey,"Comedy, Drama, Romance",6.5,19.0,3.196456
Johnny Mnemonic,"Adventure, Action, Drama, Science Fiction, Thriller",5.5,380.0,11.715868
Judge Dredd,Science Fiction,5.4,643.0,8.184815
Jury Duty,"Comedy, Drama",4.0,34.0,3.676921
Kids,"Drama, Crime",6.8,280.0,4.877872
Living in Oblivion,"Drama, Comedy",7.2,64.0,10.058329
Lord of Illusions,"Mystery, Horror, Thriller",5.9,87.0,4.102409
